,empo_1,empo_2,empo_3
0,Free-living,Non-saline,Water (non-saline)
1,Free-living,Non-saline,Water (non-saline)
2,Free-living,Non-saline,Soil (non-saline)
3,Free-living,Saline,Sediment (saline)
4,Free-living,Non-saline,Soil (non-saline)
5,Free-living,Non-saline,Water (non-saline)
6,Free-living,Non-saline,Water (non-saline)
7,Host-associated,Animal,Animal distal gut
8,Free-living,Non-saline,Surface (non-saline)
9,Free-living,Non-saline,Water (non-saline)
10,Free-living,Non-saline,Soil (non-saline)
11,Free-living,Non-saline,Soil (non-saline)
12,Host-associated,Animal,Animal distal gut
13,Free-living,Non-saline,Water (non-saline)
14,Host-associated,Animal,Animal distal gut
15,Free-living,Non-saline,Water (non-saline)
16,Free-living,Non-saline,Soil (non-saline)
17,Free-living,Non-saline,Soil (non-saline)
18,Free-living,Non-saline,Soil (non-saline)
19,Host-associated,Animal,Animal corpus
20,Host-associated,Animal,Animal distal gut
21,Free-living,Non-saline,Soil (non-saline)
22,Free-living,Non-saline,Soil (non-saline)
23,Free-living,Non-saline,Soil (non-saline)
24,Host-associated,Plant,Plant surface
25,Host-associated,Animal,Animal distal gut
26,Host-associated,Animal,Animal surface
27,Free-living,Saline,Water (saline)
28,Host-associated,Animal,Animal surface
29,Free-living,Non-saline,Water (non-saline)
30,Host-associated,Plant,Plant surface
31,Host-associated,Animal,Animal distal gut
32,Free-living,Saline,Water (saline)
33,Host-associated,Animal,Animal surface
34,Free-living,Saline,Sediment (saline)
35,Free-living,Non-saline,Surface (non-saline)
36,Free-living,Saline,Water (saline)
37,Host-associated,Animal,Animal distal gut
38,Host-associated,Animal,Animal surface
39,Free-living,Non-saline,Soil (non-saline)
40,Host-associated,Animal,Animal surface
41,Free-living,Non-saline,Soil (non-saline)
42,Host-associated,Animal,Animal surface
43,Free-living,Non-saline,Water (non-saline)
44,Free-living,Non-saline,Soil (non-saline)
45,Free-living,Saline,Water (saline)
46,Free-living,Non-saline,Water (non-saline)
47,Host-associated,Animal,Animal surface
48,Host-associated,Animal,Animal surface
49,Free-living,Non-saline,Soil (non-saline)
50,Host-associated,Plant,Plant surface
51,Host-associated,Animal,Animal distal gut
52,Host-associated,Animal,Animal surface
53,Free-living,Non-saline,Soil (non-saline)
54,Host-associated,Animal,Animal surface
55,Host-associated,Animal,Animal secretion
56,Free-living,Non-saline,Soil (non-saline)
57,Free-living,Saline,Water (saline)
58,Host-associated,Animal,Animal surface
59,Host-associated,Animal,Animal surface
60,Free-living,Saline,Sediment (saline)
61,Free-living,Saline,Water (saline)
62,Host-associated,Animal,Animal surface
63,Host-associated,Animal,Animal distal gut
64,Host-associated,Animal,Animal surface
65,Host-associated,Animal,Animal surface
66,Free-living,Non-saline,Soil (non-saline)
67,Free-living,Non-saline,Surface (non-saline)
68,Host-associated,Animal,Animal surface
69,Free-living,Non-saline,Soil (non-saline)
70,Free-living,Non-saline,Water (non-saline)
71,Host-associated,Plant,Plant surface
72,Host-associated,Animal,Animal surface
73,Host-associated,Animal,Animal distal gut
74,Free-living,Non-saline,Sediment (non-saline)
75,Free-living,Non-saline,Water (non-saline)
76,Free-living,Non-saline,Soil (non-saline)
77,Host-associated,Animal,Animal distal gut
78,Free-living,Non-saline,Soil (non-saline)
79,Free-living,Saline,Sediment (saline)
80,Host-associated,Plant,Plant rhizosphere
81,Free-living,Non-saline,Water (non-saline)
82,Free-living,Non-saline,Surface (non-saline)
83,Host-associated,Animal,Animal distal gut
84,Host-associated,Animal,Animal distal gut
85,Free-living,Non-saline,Surface (non-saline)
86,Free-living,Non-saline,Soil (non-saline)
87,Host-associated,Animal,Animal surface
88,Host-associated,Plant,Plant surface
89,Free-living,Non-saline,Soil (non-saline)
90,Free-living,Saline,Water (saline)
91,Host-associated,Animal,Animal distal gut
92,Host-associated,Animal,Animal distal gut
93,Host-associated,Plant,Plant corpus
94,Free-living,Non-saline,Surface (non-saline)
95,Host-associated,Plant,Plant surface
96,Free-living,Non-saline,Soil (non-saline)
97,Host-associated,Plant,Plant surface
98,Free-living,Non-saline,Water (non-saline)
99,Free-living,Non-saline,Soil (non-saline)
100,Host-associated,Plant,Plant surface
101,Host-associated,Animal,Animal distal gut
102,Free-living,Non-saline,Water (non-saline)
103,Host-associated,Animal,Animal distal gut
104,Host-associated,Animal,Animal distal gut
105,Free-living,Non-saline,Water (non-saline)
106,Free-living,Non-saline,Water (non-saline)
107,Host-associated,Animal,Animal surface
108,Free-living,Non-saline,Water (non-saline)
109,Host-associated,Plant,Plant rhizosphere
110,Free-living,Non-saline,Soil (non-saline)
111,Free-living,Non-saline,Water (non-saline)
112,Host-associated,Animal,Animal distal gut
113,Free-living,Non-saline,Soil (non-saline)
114,Free-living,Non-saline,Sediment (non-saline)
115,Host-associated,Plant,Plant surface
116,Host-associated,Animal,Animal distal gut
117,Host-associated,Plant,Plant surface
118,Host-associated,Animal,Animal distal gut
119,Free-living,Non-saline,Water (non-saline)
120,Host-associated,Animal,Animal distal gut
121,Host-associated,Plant,Plant surface
122,Free-living,Non-saline,Water (non-saline)
123,Free-living,Non-saline,Water (non-saline)
124,Free-living,Non-saline,Soil (non-saline)
125,Host-associated,Animal,Animal distal gut
126,Host-associated,Animal,Animal surface
127,Host-associated,Animal,Animal surface
128,Free-living,Non-saline,Soil (non-saline)
129,Free-living,Non-saline,Surface (non-saline)
130,Free-living,Non-saline,Soil (non-saline)
131,Host-associated,Animal,Animal secretion
132,Host-associated,Animal,Animal surface
133,Host-associated,Plant,Plant surface
134,Free-living,Non-saline,Soil (non-saline)
135,Host-associated,Animal,Animal surface
136,Free-living,Saline,Surface (saline)
137,Free-living,Non-saline,Sediment (non-saline)
138,Host-associated,Animal,Animal surface
139,Free-living,Non-saline,Surface (non-saline)
140,Free-living,Non-saline,Soil (non-saline)
141,Free-living,Saline,Surface (saline)
142,Free-living,Saline,Sediment (saline)
143,Host-associated,Animal,Animal corpus
144,Host-associated,Animal,Animal distal gut
145,Free-living,Non-saline,Water (non-saline)
146,Free-living,Non-saline,Soil (non-saline)
147,Host-associated,Animal,Animal corpus
148,Free-living,Non-saline,Soil (non-saline)
149,Host-associated,Animal,Animal distal gut
150,Host-associated,Animal,Animal distal gut
151,Host-associated,Animal,Animal surface
152,Free-living,Non-saline,Soil (non-saline)
153,Host-associated,Animal,Animal surface
154,Free-living,Non-saline,Soil (non-saline)
155,Host-associated,Animal,Animal surface
156,Host-associated,Animal,Animal distal gut
157,Free-living,Non-saline,Surface (non-saline)
158,Host-associated,Animal,Animal surface
159,Host-associated,Animal,Animal distal gut
160,Host-associated,Animal,Animal distal gut
161,Host-associated,Animal,Animal distal gut
162,Free-living,Non-saline,Water (non-saline)
163,Free-living,Saline,Water (saline)
164,Free-living,Non-saline,Sediment (non-saline)
165,Free-living,Non-saline,Water (non-saline)
166,Host-associated,Animal,Animal surface
167,Host-associated,Animal,Animal distal gut
168,Free-living,Non-saline,Soil (non-saline)
169,Free-living,Non-saline,Water (non-saline)
170,Host-associated,Animal,Animal surface
171,Free-living,Non-saline,Water (non-saline)
172,Host-associated,Animal,Animal distal gut
173,Free-living,Saline,Water (saline)
174,Host-associated,Animal,Animal surface
175,Host-associated,Animal,Animal distal gut
176,Host-associated,Animal,Animal surface
177,Free-living,Non-saline,Soil (non-saline)
178,Host-associated,Animal,Animal surface
179,Free-living,Non-saline,Sediment (non-saline)
180,Free-living,Saline,Surface (saline)
181,Host-associated,Animal,Animal surface
182,Free-living,Non-saline,Soil (non-saline)
183,Host-associated,Animal,Animal surface
184,Free-living,Non-saline,Soil (non-saline)
185,Host-associated,Animal,Animal distal gut
186,Host-associated,Animal,Animal distal gut
187,Free-living,Non-saline,Soil (non-saline)
188,Host-associated,Animal,Animal distal gut
189,Free-living,Non-saline,Sediment (non-saline)
190,Free-living,Non-saline,Soil (non-saline)
191,Host-associated,Animal,Animal distal gut
192,Free-living,Non-saline,Water (non-saline)
193,Free-living,Non-saline,Soil (non-saline)
194,Free-living,Non-saline,Soil (non-saline)
195,Host-associated,Animal,Animal surface
196,Free-living,Non-saline,Water (non-saline)
197,Free-living,Non-saline,Water (non-saline)
198,Free-living,Saline,Sediment (saline)
199,Host-associated,Animal,Animal surface
200,Host-associated,Animal,Animal distal gut
201,Host-associated,Animal,Animal secretion
202,Host-associated,Animal,Animal surface
203,Host-associated,Animal,Animal distal gut
204,Free-living,Non-saline,Surface (non-saline)
205,Free-living,Non-saline,Soil (non-saline)
206,Free-living,Non-saline,Soil (non-saline)
207,Host-associated,Animal,Animal distal gut
208,Free-living,Non-saline,Water (non-saline)
209,Free-living,Saline,Sediment (saline)
210,Free-living,Non-saline,Sediment (non-saline)
211,Free-living,Non-saline,Water (non-saline)
212,Host-associated,Animal,Animal surface
213,Host-associated,Animal,Animal distal gut
214,Host-associated,Animal,Animal secretion
215,Free-living,Non-saline,Soil (non-saline)
216,Host-associated,Animal,Animal surface
217,Host-associated,Animal,Animal surface
218,Host-associated,Animal,Animal distal gut
219,Host-associated,Animal,Animal surface
220,Host-associated,Animal,Animal surface
221,Host-associated,Animal,Animal surface
222,Host-associated,Animal,Animal distal gut
223,Host-associated,Animal,Animal distal gut
224,Free-living,Non-saline,Surface (non-saline)
225,Free-living,Non-saline,Soil (non-saline)
226,Free-living,Saline,Sediment (saline)
227,Free-living,Non-saline,Soil (non-saline)
228,Free-living,Non-saline,Soil (non-saline)
229,Host-associated,Animal,Animal distal gut
230,Free-living,Non-saline,Soil (non-saline)
231,Free-living,Non-saline,Water (non-saline)
232,Host-associated,Animal,Animal surface
233,Host-associated,Plant,Plant surface
234,Free-living,Non-saline,Soil (non-saline)
235,Host-associated,Animal,Animal surface
